,dtw
mean_duration_Damaged Tree,0.0125
mean_duration_Water System,0.0135
mean_duration_Street Sign - Damaged,0.0141
mean_duration_Dirty Conditions,0.0143
mean_duration_Sewer,0.0153
Prcp_Damaged Tree,0.0227
Prcp_Sewer,0.0228
Prcp_Street Sign - Damaged,0.0234
Prcp_mean_duration,0.0248
Prcp_Water System,0.0250
misdemeanors_Taxi Complaint,0.0298
Prcp_Dirty Conditions,0.0299
misdemeanors_BRONX,0.0300
Taxi Complaint_QUEENS,0.0332
misdemeanors_STATEN ISLAND,0.0334
mean_duration_Traffic Signal Condition,0.0336
Taxi Complaint_STATEN ISLAND,0.0343
felonies_QUEENS,0.0344
misdemeanors_passenger_vehicle,0.0350
felonies_Taxi Complaint,0.0357
Taxi Complaint_passenger_vehicle,0.0363
misdemeanors_QUEENS,0.0364
Taxi Complaint_BRONX,0.0364
Found Property_BRONX,0.0366
num_trips_passenger_vehicle,0.0373
num_trips_Sanitation Condition,0.0394
felonies_BROOKLYN,0.0395
mean_duration_FLOORING/STAIRS,0.0396
FLOORING/STAIRS_BRONX,0.0397
misdemeanors_num_trips,0.0398
num_trips_Rodent,0.0403
Illegal Parking_passenger_vehicle,0.0404
Found Property_STATEN ISLAND,0.0408
felonies_MANHATTAN,0.0409
Water System_BRONX,0.0412
misdemeanors_Found Property,0.0415
Prcp_Traffic Signal Condition,0.0423
Traffic Signal Condition_BRONX,0.0426
violations_BROOKLYN,0.0430
Sidewalk Condition_BRONX,0.0432
misdemeanors_PLUMBING,0.0433
PLUMBING_BRONX,0.0435
Dirty Conditions_BRONX,0.0436
misdemeanors_Water System,0.0436
violations_Sanitation Condition,0.0438
felonies_num_trips,0.0438
Taxi Complaint_BROOKLYN,0.0439
felonies_STATEN ISLAND,0.0440
num_trips_Illegal Parking,0.0442
Sidewalk Condition_STATEN ISLAND,0.0442
violations_MANHATTAN,0.0443
felonies_passenger_vehicle,0.0443
misdemeanors_Sidewalk Condition,0.0444
felonies_Sanitation Condition,0.0446
Spd_STATEN ISLAND,0.0447
violations_num_trips,0.0449
Prcp_BRONX,0.0451
Blocked Driveway_passenger_vehicle,0.0452
felonies_Rodent,0.0452
Prcp_FLOORING/STAIRS,0.0452
Taxi Complaint_MANHATTAN,0.0454
violations_QUEENS,0.0455
num_trips_Blocked Driveway,0.0455
violations_Noise,0.0455
violations_Rodent,0.0456
Derelict Vehicles_BRONX,0.0457
misdemeanors_FLOORING/STAIRS,0.0461
FLOORING/STAIRS_STATEN ISLAND,0.0463
Indoor Air Quality_STATEN ISLAND,0.0467
num_trips_Taxi Complaint,0.0468
PLUMBING_STATEN ISLAND,0.0468
felonies_BRONX,0.0469
Sanitation Condition_passenger_vehicle,0.0470
misdemeanors_Rodent,0.0470
Rodent_QUEENS,0.0473
Sewer_BRONX,0.0476
num_trips_Found Property,0.0477
Noise - Commercial_BRONX,0.0478
Spd_Taxi Complaint,0.0478
felonies_For Hire Vehicle Complaint,0.0479
Derelict Vehicles_STATEN ISLAND,0.0480
Noise - Commercial_STATEN ISLAND,0.0481
violations_Taxi Complaint,0.0481
Illegal Parking_STATEN ISLAND,0.0483
Derelict Vehicles_passenger_vehicle,0.0485
Rodent_passenger_vehicle,0.0485
Noise_MANHATTAN,0.0485
For Hire Vehicle Complaint_QUEENS,0.0485
Found Property_passenger_vehicle,0.0487
Damaged Tree_BRONX,0.0487
Street Sign - Damaged_BRONX,0.0489
Noise_QUEENS,0.0490
num_trips_Derelict Vehicles,0.0490
Spd_Indoor Air Quality,0.0491
num_trips_QUEENS,0.0491
